City,Studio,1 bed,2 beds,3 beds,4+ beds,Link,Datetime,ListingsNum
Airdrie Rentals ,"$1,807 ","$1,506 ","$1,911 ","$2,398 ","$3,006 ",https://www.rentfaster.ca/ab/airdrie/,2024-10-10 22:49:08,229
Calgary Rentals ,"$1,493 ","$1,649 ","$2,112 ","$2,489 ","$3,178 ",https://www.rentfaster.ca/ab/calgary/,2024-10-10 22:49:08,8039
Chestermere Rentals ,N/A,"$1,453 ","$1,605 ","$2,350 ","$2,553 ",https://www.rentfaster.ca/ab/chestermere/,2024-10-10 22:49:08,76
Cochrane Rentals ,"$1,150 ","$1,300 ","$1,822 ","$2,458 ","$2,915 ",https://www.rentfaster.ca/ab/cochrane/,2024-10-10 22:49:08,102
Edmonton Rentals ,"$1,140 ","$1,397 ","$1,737 ","$2,069 ","$2,589 ",https://www.rentfaster.ca/ab/edmonton/,2024-10-10 22:49:08,3176
Fort McMurray Rentals ,"$1,015 ","$1,283 ","$1,462 ","$2,027 ",N/A,https://www.rentfaster.ca/ab/fort-mcmurray/,2024-10-10 22:49:08,104
Hamilton Rentals ,"$1,375 ","$1,734 ","$2,148 ","$2,731 ","$2,600 ",https://www.rentfaster.ca/on/hamilton/,2024-10-10 22:49:08,142
Kingston Rentals ,"$1,496 ","$1,799 ","$2,258 ","$2,492 ","$3,700 ",https://www.rentfaster.ca/on/kingston/,2024-10-10 22:49:08,173
Kitchener Rentals ,"$1,743 ","$1,893 ","$2,276 ","$2,618 ","$3,412 ",https://www.rentfaster.ca/on/kitchener/,2024-10-10 22:49:08,164
London Rentals ,"$1,324 ","$1,836 ","$2,255 ","$2,726 ","$2,976 ",https://www.rentfaster.ca/on/london/,2024-10-10 22:49:08,455
Mississauga Rentals ,"$1,866 ","$2,342 ","$2,787 ","$3,319 ","$3,098 ",https://www.rentfaster.ca/on/mississauga/,2024-10-10 22:49:08,325
Montréal Rentals ,"$1,539 ","$1,851 ","$2,491 ","$3,116 ","$4,037 ",https://www.rentfaster.ca/qc/montreal/,2024-10-10 22:49:08,1317
Ottawa Rentals ,"$1,764 ","$2,155 ","$2,653 ","$3,017 ","$2,679 ",https://www.rentfaster.ca/on/ottawa/,2024-10-10 22:49:08,1109
Red Deer Rentals ,"$1,230 ","$1,459 ","$1,602 ","$1,968 ","$2,439 ",https://www.rentfaster.ca/ab/red-deer/,2024-10-10 22:49:08,97
Regina Rentals ,"$1,049 ","$1,340 ","$1,505 ","$1,922 ","$2,349 ",https://www.rentfaster.ca/sk/regina/,2024-10-10 22:49:08,263
Saskatoon Rentals ,$992 ,"$1,251 ","$1,467 ","$1,996 ","$2,930 ",https://www.rentfaster.ca/sk/saskatoon/,2024-10-10 22:49:08,263
Toronto Rentals ,"$1,964 ","$2,463 ","$3,289 ","$4,282 ","$3,459 ",https://www.rentfaster.ca/on/toronto/,2024-10-10 22:49:08,2650
Vancouver Rentals ,"$2,276 ","$2,616 ","$3,789 ","$4,520 ","$6,900 ",https://www.rentfaster.ca/bc/vancouver/,2024-10-10 22:49:08,304
Victoria Rentals ,"$1,833 ","$2,185 ","$2,982 ","$3,325 ","$3,400 ",https://www.rentfaster.ca/bc/victoria/,2024-10-10 22:49:08,293
Winnipeg Rentals ,"$1,118 ","$1,468 ","$1,852 ","$2,133 ","$2,307 ",https://www.rentfaster.ca/mb/winnipeg/,2024-10-10 22:49:08,1018
