Datetime,City,Studio,1 bed,2 beds,3 beds,4+ beds,ListingsNum
2024-10-14 23:17:03,Airdrie Rentals ,"$2,160 ","$1,502 ","$1,925 ","$2,398 ","$2,979 ",226
2024-10-14 23:17:03,Calgary Rentals ,"$1,495 ","$1,640 ","$2,108 ","$2,479 ","$3,155 ",8011
2024-10-14 23:17:03,Chestermere Rentals ,N/A,"$1,401 ","$1,594 ","$2,355 ","$2,703 ",77
2024-10-14 23:17:03,Cochrane Rentals ,"$1,150 ","$1,413 ","$1,837 ","$2,493 ","$2,938 ",101
2024-10-14 23:17:03,Edmonton Rentals ,"$1,136 ","$1,393 ","$1,743 ","$2,069 ","$2,560 ",3172
2024-10-14 23:17:03,Fort McMurray Rentals ,"$1,015 ","$1,282 ","$1,460 ","$2,094 ","$2,668 ",109
2024-10-14 23:17:03,Hamilton Rentals ,"$1,375 ","$1,677 ","$2,126 ","$2,714 ","$2,600 ",142
2024-10-14 23:17:03,Kingston Rentals ,"$1,496 ","$1,803 ","$2,253 ","$2,477 ","$3,700 ",169
2024-10-14 23:17:03,Kitchener Rentals ,"$1,736 ","$1,898 ","$2,284 ","$2,591 ","$3,412 ",164
2024-10-14 23:17:03,London Rentals ,"$1,324 ","$1,837 ","$2,250 ","$2,727 ","$2,976 ",449
2024-10-14 23:17:03,Mississauga Rentals ,"$1,852 ","$2,303 ","$2,741 ","$3,272 ","$3,098 ",335
2024-10-14 23:17:03,Montréal Rentals ,"$1,540 ","$1,849 ","$2,477 ","$3,108 ","$4,037 ",1315
2024-10-14 23:17:03,Ottawa Rentals ,"$1,757 ","$2,156 ","$2,646 ","$3,038 ","$2,679 ",1111
2024-10-14 23:17:03,Red Deer Rentals ,"$1,196 ","$1,515 ","$1,602 ","$1,960 ","$2,439 ",96
2024-10-14 23:17:03,Regina Rentals ,"$1,049 ","$1,338 ","$1,489 ","$1,930 ","$2,349 ",257
2024-10-14 23:17:03,Saskatoon Rentals ,$992 ,"$1,251 ","$1,457 ","$1,981 ","$2,895 ",261
2024-10-14 23:17:03,Toronto Rentals ,"$1,958 ","$2,454 ","$3,288 ","$4,307 ","$3,459 ",2534
2024-10-14 23:17:03,Vancouver Rentals ,"$2,226 ","$2,584 ","$3,774 ","$4,381 ","$7,200 ",305
2024-10-14 23:17:03,Victoria Rentals ,"$1,826 ","$2,179 ","$2,944 ","$3,325 ","$3,400 ",288
2024-10-14 23:17:03,Winnipeg Rentals ,"$1,141 ","$1,465 ","$1,854 ","$2,133 ","$2,307 ",1006
